1,Ammospermophilus nelsoni,Gabites,Male,86,65,healthy
2,Conolophus subcristatus,Litherborough,Male,30,52,healthy
3,Centrocercus urophasianus,Minker,Female,48,49,not healthy
4,Cereopsis novaehollandiae,Jossel,Female,94,65,healthy
5,Ateles paniscus,Timson,Female,4,70,not healthy
6,Eubalaena australis,Hannabus,Female,49,30,healthy
7,Macropus parryi,Godlip,Female,77,84,healthy
8,Macropus fuliginosus,Garrique,Female,48,70,not healthy
9,Cervus elaphus,Strippling,Female,5,52,not healthy
10,Phalacrocorax niger,Balcock,Female,6,2,healthy
